地方整備局等番号,開発建設部／都道府県コード,常時観測点コード,収集時間フラグ（5分間／1時間）,観測年月日,時間帯,上り・小型交通量,上り・大型交通量,上り・車種判別不能交通量,上り・停電,上り・ループ異常,上り・超音波異常,上り・欠測,下り・小型交通量,下り・大型交通量,下り・車種判別不能交通量,下り・停電,下り・ループ異常,下り・超音波異常,下り・欠測,道路種別,時間コード,lat,lng,lng2,lat2,カメラプリセット位置,気象影響による映像不良,照度不足,突発事象（交通事故等）,サーバの稼働,カメラの映像受信,映像のデコード処理,デコード映像から映像解析機能への取込加工処理の失敗,映像解析機能のフリーズ,その他エラー
89,,9310015,1,20250628,1705,115,9,0,0,0,0,0,149,7,0,0,0,0,0,3,202506281705,33.44660203165923,130.540337,,,,,,,,,,,,
89,,9310017,1,20250628,1705,50,1,0,0,0,0,0,46,1,0,0,0,0,0,3,202506281705,33.323489031480754,130.523608,,,,,,,,,,,,
89,,9310020,1,20250628,1705,21,1,0,0,0,0,0,15,1,0,0,0,0,0,3,202506281705,33.11458003117534,130.669176,,,,,,,,,,,,
89,,9310035,1,20250628,1705,7,1,0,0,0,0,0,3,0,0,0,0,0,0,3,202506281705,32.406040030117445,130.555735,,,,,,,,,,,,
89,,9310045,1,20250628,1705,38,2,0,0,0,0,0,49,2,0,0,0,0,0,3,202506281705,32.16215502974594,130.36789,,,,,,,,,,,,
89,,9310050,1,20250628,1705,30,1,0,0,0,0,0,50,1,0,0,0,0,0,3,202506281705,31.714213029054637,130.275752,,,,,,,,,,,,
89,,9310060,1,20250628,1705,30,2,1,0,0,0,0,54,3,0,0,0,0,0,3,202506281705,32.38562876008649,130.5414069,,,,,,,,,,,,
89,,9310070,1,20250628,1705,44,1,0,0,0,0,0,61,1,1,0,0,0,0,3,202506281705,31.702321029036145,130.297006,,,,,,,,,,,,
89,,9310080,1,20250628,1705,50,3,0,0,0,0,0,75,2,0,0,0,0,0,3,202506281705,33.80588903217365,130.960473,,,,,,,,,,,,
89,,9310085,1,20250628,1705,74,3,0,0,0,0,0,45,1,0,0,0,0,0,3,202506281705,33.54594303180245,131.283198,,,,,,,,,,,,
89,,9310090,1,20250628,1705,57,2,0,0,0,0,0,78,2,0,0,0,0,0,3,202506281705,33.38094503156419,131.540397,,,,,,,,,,,,
89,,9310100,1,20250628,1705,116,10,0,0,0,0,0,112,2,0,0,0,0,0,3,202506281705,33.15920703124086,131.651922,,,,,,,,,,,,
89,,9310115,1,20250628,1705,53,8,0,0,0,0,0,54,4,0,0,0,0,0,3,202506281705,31.726570029073855,131.023972,,,,,,,,,,,,
89,,9310120,1,20250628,1705,90,3,0,0,0,0,0,77,4,0,0,0,0,0,3,202506281705,31.705779029041526,130.613215,,,,,,,,,,,,
89,,9310125,1,20250628,1705,58,7,0,0,0,0,0,85,3,0,0,0,0,0,3,202506281705,33.21761616132637,130.1637701,,,,,,,,,,,,
89,,9310127,1,20250628,1705,44,6,0,0,0,0,0,59,4,0,0,0,0,0,3,202506281705,32.91326503087817,130.976239,,,,,,,,,,,,
89,,9310130,1,20250628,1705,102,5,0,0,0,0,0,77,6,0,0,0,0,0,3,202506281705,32.8754950308221,130.867355,,,,,,,,,,,,
89,,9310140,1,20250628,1705,120,6,0,0,0,0,0,106,3,0,0,0,0,0,3,202506281705,32.820198990739854,130.7572925,,,,,,,,,,,,
89,,9310150,1,20250628,1705,49,8,0,0,0,0,0,30,11,0,0,0,0,0,3,202506281705,32.6779330305273,130.55327,,,,,,,,,,,,
89,,9310155,1,20250628,1705,26,0,0,0,0,0,0,50,2,0,0,0,0,0,3,202506281705,32.76467203065704,130.370667,,,,,,,,,,,,
89,,9310156,1,20250628,1705,46,1,0,0,0,0,0,55,3,0,0,0,0,0,3,202506281705,32.78536503068792,130.199594,,,,,,,,,,,,
89,,9310157,1,20250628,1705,41,2,0,0,0,0,0,25,0,0,0,0,0,0,3,202506281705,33.06696517110531,131.6229634,,,,,,,,,,,,
89,,9310159,1,20250628,1705,26,0,0,0,0,0,0,15,1,0,0,0,0,0,3,202506281705,32.997429031002746,131.434075,,,,,,,,,,,,
89,,9310174,1,20250628,1705,113,9,0,0,0,0,0,107,3,0,0,0,0,0,3,202506281705,33.6275850319196,130.703907,,,,,,,,,,,,
89,,9310180,1,20250628,1705,113,4,0,0,0,0,0,119,3,0,0,0,0,0,3,202506281705,33.57279403184104,130.285973,,,,,,,,,,,,
89,,9310181,1,20250628,1705,47,4,0,0,0,0,0,51,4,0,0,0,0,0,3,202506281705,33.230906841345785,130.3350523,,,,,,,,,,,,
89,,9310183,1,20250628,1705,98,4,0,0,0,0,0,59,1,0,0,0,0,0,3,202506281705,32.9483090309301,130.502942,,,,,,,,,,,,
89,,9310184,1,20250628,1705,67,2,0,0,0,0,0,56,3,0,0,0,0,0,3,202506281705,32.918079150885305,130.6264597,,,,,,,,,,,,
89,,9310185,1,20250628,1705,19,1,0,0,0,0,0,16,0,0,0,0,0,0,3,202506281705,33.37000946154832,129.9447181,,,,,,,,,,,,
89,,9310186,1,20250628,1705,86,0,4,0,0,0,0,60,1,7,0,0,0,0,3,202506281705,33.55795203181972,130.456481,,,,,,,,,,,,
89,,9310187,1,20250628,1705,91,10,0,0,0,0,0,69,4,0,0,0,0,0,3,202506281705,33.504396031742644,130.111167,,,,,,,,,,,,
89,,9310188,1,20250628,1705,35,1,0,0,0,0,0,31,4,0,0,0,0,0,3,202506281705,33.3383090315023,130.64702,,,,,,,,,,,,
89,,9310189,1,20250628,1705,,,,0,0,0,1,,,,0,0,0,1,3,202506281705,33.06535003110294,129.833592,,,,,,,,,,,,
89,,9310191,1,20250628,1705,69,2,0,0,0,0,0,70,3,0,0,0,0,0,3,202506281705,33.18514003127884,130.387366,,,,,,,,,,,,
89,,9310192,1,20250628,1705,59,1,0,0,0,0,0,30,13,0,0,0,0,0,3,202506281705,33.20214803130375,130.361827,,,,,,,,,,,,
89,,9310193,1,20250628,1705,22,30,0,0,0,0,0,6,27,0,0,0,0,0,3,202506281705,33.20855403131311,130.343385,,,,,,,,,,,,
89,,9310195,1,20250628,1705,48,0,0,0,0,0,0,46,2,0,0,0,0,0,3,202506281705,33.32086003147692,130.863524,,,,,,,,,,,,
89,,9310200,1,20250628,1705,17,0,0,0,0,0,0,17,2,0,0,0,0,0,3,202506281705,33.250128031373855,131.295812,,,,,,,,,,,,
